SFC 72202   25.8  -80.3  4  6 61  2 089/ 77/ 75/0000/303  8 2908
METXUAR 95100812 72202
 
(LOCATION=25.8N 80.3W
 PRESS  HEIGHT  TEMP  DEPR  DD  FF
  1008   99999  24.0    .8 999 999
  1000   99999  24.2    .4 040 007
   850    1490  17.4   1.2 175 013
   751   99999  12.8   2.0 999 999
   715   99999  11.2   4.4 999 999
   700    3132   9.8   3.8 160 015
   693   99999   9.2   2.0 999 999
   585   99999   2.2   4.0 999 999
   568   99999    .2   1.2 999 999
   534   99999  -1.9   6.8 999 999
   512   99999  -4.1   6.0 999 999
   500    5860  -5.3   2.5 155 011
   488   99999  -6.5   1.2 999 999
   449   99999  -9.1   4.8 999 999
   413   99999 -13.5   4.4 999 999
   400    7580 -14.5   6.0 155 013
   390   99999 -15.9   8.8 999 999
   375   99999 -18.1   8.0 999 999
   353   99999 -21.3  16.8 999 999
   300    9690 -29.7  18.0 130 017
   265   99999 -35.9  18.0 999 999
   250   10970 -39.5  16.0 125 023
   200   12460 -51.3  14.0 100 015
   150   14260 -65.5  11.0 045 034
   144   99999 -67.3  10.8 999 999
   100   99999 -77.9   8.8 065 027
ENDAT
SFC 72403   39.0  -77.5  9  0 80  0 182/ 55/ 48/3108/214  1 0000
METXUAR 95100812 72403
 
(LOCATION=39.0N 77.5W
 PRESS  HEIGHT  TEMP  DEPR  DD  FF
  1008   99999  12.8   6.8 999 999
  1000   99999  14.4   8.0 310 009
   887   99999   6.6   3.2 999 999
   850    1496   4.2   4.7 300 027
   839   99999   4.2   6.0 999 999
   830   99999   7.2  22.8 999 999
   821   99999   8.4  24.8 999 999
   732   99999   2.2  24.0 999 999
   722   99999   2.8  24.8 999 999
   713   99999   5.4  26.0 999 999
   700    3079   6.6  27.0 260 044
   690   99999   6.8  26.8 999 999
   604   99999  -1.5  24.0 999 999
   500   99999 -10.3  22.8 255 050
   400    7420 -25.5  19.0 250 056
   374   99999 -29.9  16.8 999 999
   344   99999 -33.3  16.8 999 999
   327   99999 -33.5  16.8 999 999
   300    9450 -37.3  17.0 240 073
   285   99999 -39.7  16.0 999 999
   250   10700 -41.3  16.0 235 085
   217   99999 -42.7  16.0 999 999
   200   12200 -45.5  15.0 235 087
   150   14060 -56.5  13.0 250 069
   103   99999 -69.3  11.0 250 050
   100   99999 -69.3  10.8 250 048
ENDAT
SFC 72606   43.7  -70.3  0  8 11 ** 124/ 51/ 50/2907/306  0 ****
METXUAR 95100812 74606
 
(LOCATION=34.7N120.6W
 PRESS  HEIGHT  TEMP  DEPR  DD  FF
  1001   99999  10.8   2.4 999 999
  1000     121  10.8   2.2 200 001
   995   99999  10.8    .0 999 999
   971   99999  10.0    .0 999 999
   964   99999  11.2    .0 999 999
   934   99999  15.6   4.4 999 999
   927   99999  16.2   8.8 999 999
   916   99999  16.0   8.0 999 999
   910   99999  16.4  12.8 999 999
   902   99999  16.4  12.8 999 999
   895   99999  17.8  26.0 999 999
   892   99999  17.6  20.0 999 999
   869   99999  16.8  22.8 999 999
   850    1496  15.6  24.0 055 007
   807   99999  13.0  22.8 999 999
   752   99999  10.6  24.8 999 999
   700    3115   6.4  23.0 340 001
   672   99999   4.4  22.8 999 999
   597   99999  -2.3  22.8 999 999
   511   99999 -12.7  12.8 999 999
   503   99999 -11.5  20.8 999 999
   500    5780 -11.9  21.0 360 009
   488   99999 -12.9  20.8 999 999
   400    7450 -23.5  19.0 010 023
   300    9490 -38.7  16.0 360 029
   286   99999 -41.1  14.8 999 999
   250   10720 -48.5  14.0 350 025
   245   99999 -49.9  12.8 999 999
   225   99999 -54.3  13.0 330 027
   200   12160 -54.7  13.0 295 025
   156   99999 -55.9  12.0 999 999
   150   13980 -56.7  12.0 270 036
   128   99999 -61.9  10.8 999 999
   100   16490 -65.9  10.0 265 025
ENDAT
SFC 72645   44.5  -88.1  6  8 74 ** 198/ 44/ 37/2703/314  0 85**
METXUAR 95100812 72645
 
(LOCATION=44.5N 88.1W
 PRESS  HEIGHT  TEMP  DEPR  DD  FF
   994   99999   7.4   2.8 999 999
   980   99999   7.4   4.8 999 999
   889   99999    .0    .0 999 999
   863   99999  -1.5    .0 999 999
   860   99999  -1.3  12.8 999 999
   855   99999    .4  22.0 999 999
   850    1478   3.6  23.0 295 017
   847   99999   5.0  22.0 999 999
   820   99999   5.0  24.8 999 999
   700    3044  -1.3  23.0 290 021
   650   99999  -4.3  14.8 999 999
   626   99999  -4.9  22.8 999 999
   552   99999 -10.5  20.0 999 999
   511   99999 -15.5  12.0 999 999
   500    5660 -16.5  14.0 285 025
   473   99999 -19.7  16.0 999 999
   455   99999 -22.3  10.0 999 999
   400    7290 -29.3  11.0 280 027
   376   99999 -32.5  12.8 999 999
   300    9280 -44.7   9.0 280 034
   250   10480 -54.3   8.0 270 042
   231   99999 -57.5   8.0 270 046
   208   99999 -54.1   8.8 999 999
   200   11900 -54.1   9.0 265 044
   150   99999 -53.7  12.0 260 046
   113   99999 -58.5  12.0 999 999
   100   99999 -58.1  12.0 250 042
ENDAT
