AL, 18, 2012102400, 03, TRTS,   0, 148N,  772W,  50
AL, 18, 2012102400, 03, TRTS,  12, 166N,  767W,  61
AL, 18, 2012102400, 03, TRTS,  24, 189N,  766W,  75
AL, 18, 2012102400, 03, TRTS,  36, 219N,  766W,  82
AL, 18, 2012102400, 03, TRTS,  48, 238N,  768W,  90
AL, 18, 2012102400, 03, TRTS,  60, 263N,  768W,  98
AL, 18, 2012102400, 03, TRTS,  72, 294N,  743W,  98
AL, 18, 2012102400, 03, TRTS,  84, 317N,  693W,  97
AL, 18, 2012102400, 03, TRTS,  96, 338N,  647W,  94
AL, 18, 2012102400, 03, TRTS, 108, 370N,  602W,  86
AL, 18, 2012102400, 03, TRTD,   0, 148N,  772W,  50
AL, 18, 2012102400, 03, TRTD,  12, 166N,  767W,  61
AL, 18, 2012102400, 03, TRTD,  24, 189N,  766W,  69
AL, 18, 2012102400, 03, TRTD,  36, 219N,  766W,  62
AL, 18, 2012102400, 03, TRTD,  48, 238N,  768W,  70
AL, 18, 2012102400, 03, TRTD,  60, 263N,  768W,  78
AL, 18, 2012102400, 03, TRTD,  72, 294N,  743W,  78
AL, 18, 2012102400, 03, TRTD,  84, 317N,  693W,  78
AL, 18, 2012102400, 03, TRTD,  96, 338N,  647W,  74
AL, 18, 2012102400, 03, TRTD, 108, 370N,  602W,  66
AL, 18, 2012102400, 03, TRTG,   0, 148N,  772W,  50
AL, 18, 2012102400, 03, TRTG,  12, 166N,  767W,  58
AL, 18, 2012102400, 03, TRTG,  24, 189N,  766W,  63
AL, 18, 2012102400, 03, TRTG,  36, 219N,  766W,  60
AL, 18, 2012102400, 03, TRTG,  48, 238N,  768W,  63
AL, 18, 2012102400, 03, TRTG,  60, 263N,  768W,  63
AL, 18, 2012102400, 03, TRTG,  72, 294N,  743W,  59
AL, 18, 2012102400, 03, TRTG,  84, 317N,  693W,  55
AL, 18, 2012102400, 03, TRTG,  96, 338N,  647W,  53
AL, 18, 2012102400, 03, TRTG, 108, 370N,  602W,  53
