SPD tau:     0.0  storm: 91L     304.8      40.6
   6    9
H       7.99     300.13      47.86    21.7043      4.438      8.198    
H       7.34     309.59      47.08    14.1232      1.319      4.293    
H       7.18     313.92      39.03    22.6351     0.3291      1.279    
H       6.17     312.92      41.13    24.4185      1.426      2.803    
H       5.45     311.95      41.38    24.7186     0.5107      1.304    
H       4.31     310.47      40.65    24.6455      1.469      2.564    
L       1.98     302.37      39.89    14.1674     0.1417     0.3122    
L       3.25     305.52      43.81    9.70397     0.5519      1.178    
L       3.70     301.99      37.61    12.5151     0.8536      2.184    
L       5.46     300.49      45.06    14.8572     0.4426      2.037    
L       6.68     307.03      47.09    2.84338      1.107      3.872    
L       7.01     305.02      47.61    5.51409      1.076      2.524    
L       7.15     311.16      46.06    9.78759      1.411      5.647    
L       9.30     312.90      47.88    7.33001     0.6202      1.327    
L       9.35     314.24      47.01    6.26371     0.9537      2.287    
VRT tau:     0.0  storm: 91L     304.8      40.6
  12   15
H       9.67     313.26      48.16    2.70638      2.046      3.199    
H       7.22     311.51      45.93    9.27011      1.394      4.756    
H       6.25     308.97      46.06    8.74436     0.3210      1.564    
H       6.22     313.00      40.93  -0.402621     0.3336      1.273    
H       6.00     311.47      37.56    2.16164     0.6786      3.082    
H       5.12     311.25      39.26  -0.864470     0.8655     0.8900    
H       4.07     302.25      37.04    3.44625     0.7077      2.332    
H       3.51     307.30      37.68  -0.985674      1.078      1.500    
H       2.64     304.04      43.18    3.37451     0.3571      1.368    
H       2.25     305.64      38.45    1.58055     0.6656      2.170    
H       2.18     307.38      41.58    3.55760     0.5448      1.541    
H       0.34     305.07      40.88    4.31571     0.8455      1.859    
L       1.84     303.49      39.06   -2.23598     0.3104      1.386    
L       3.17     306.91      37.88   -1.38371     0.6733      1.436    
L       3.40     306.18      37.37   -1.32131     0.8411      1.586    
L       3.40     301.13      38.70   -2.07044      1.188      1.477    
L       3.94     309.66      39.31   -2.19752      1.247      1.719    
L       4.21     309.50      42.93    1.36512     0.3920      1.499    
L       4.24     300.57      43.44   -6.04529     0.3182      1.192    
L       4.45     305.46      45.02   -2.76042     0.1346      1.094    
L       5.05     310.38      43.48    1.49756     0.3052      1.685    
L       6.33     313.06      39.99   -1.55226     0.1520      1.509    
L       6.87     313.84      40.55   -1.38058     0.3995      1.242    
L       7.61     302.64      48.06   -4.49849      1.564      5.015    
L       7.69     314.62      42.94   -3.68266     0.5663      1.836    
L       8.34     310.10      48.03   -2.12665     0.5189      3.728    
L       8.71     312.86      47.10   -2.17368      2.099      5.019    
PSL tau:     0.0  storm: 91L     304.8      40.6
   0    0
SPD tau:     0.0  storm: 05E     202.6      15.0
   7   10
H       7.10     203.41      22.06    19.2191     0.2341     0.7621    
H       6.51     199.88      20.98    16.5902     0.8283      3.298    
H       5.86     204.04      20.70    19.3821      10.49      13.49    
H       5.29     200.41      19.87    15.6799     0.6148      1.156    
H       4.31     206.48      17.16    21.2449      2.190      3.646    
H       3.30     199.36      16.07    20.2721     0.5489      1.442    
H       3.06     203.62      17.90    25.6044      2.517      5.982    
L       2.71     202.16      12.32    6.53441      1.044      1.536    
L       4.26     203.05      19.24   0.810425      14.44      15.41    
L       4.30     207.05      14.88    13.0047     0.6873      1.831    
L       4.95     204.48      19.62    5.20221      7.182      15.64    
L       5.36     208.03      13.92    12.6272     0.4226      1.588    
L       5.94     202.98      20.93    11.5500      2.600      10.50    
L       6.47     201.88      21.43    8.38195      6.418      17.74    
L       7.38     210.22      15.67    15.5746      1.537      1.898    
L       7.46     199.97      22.03    9.72034      1.145      10.16    
L       9.30     210.54      20.42    15.0599     0.3898      1.211    
VRT tau:     0.0  storm: 05E     202.6      15.0
  15   18
H       9.24     210.75      20.00    1.13886     0.5326      1.849    
H       7.76     207.05      21.51    2.72810     0.1285      3.514    
H       7.68     206.13      21.92    2.99446      1.258      3.209    
H       6.91     208.46      19.04    1.36804     0.5049      3.180    
H       6.41     206.78      20.02    1.08437     0.6272      2.516    
H       5.88     208.14      12.63   0.766254     0.4851     0.9450    
H       5.55     203.12      20.53    9.54540      2.020      13.11    
H       5.33     203.99      20.16    12.1617      15.43      26.79    
H       4.44     198.40      16.84    1.15514      1.025      1.652    
H       4.38     204.93      11.25    2.53420     0.6119      1.133    
H       4.21     198.25      14.81    1.04140     0.7718     0.9260    
H       3.84     206.33      16.37    2.14943      2.882      5.104    
H       3.33     205.97      14.33   0.891893     0.3878      1.000    
H       2.08     201.17      16.55    4.54193      1.222      2.823    
H       0.59     202.82      15.55    7.85147      2.068      3.494    
L       2.03     204.70      14.86   -1.54602      2.090      2.745    
